SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,LATITUDE_BACKUP,LONGITUDE_BACKUP,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION,LAT,LON
Mortimer Livingston,,Boyd & Hineken,Ship,1846.0,"Portsmouth, NH",1863-01-24,1863.0,1,24,"Ludlams Beach, NJ",39.15333,-74.68666,39.1476143,-74.6943277,Stranded,Wood,US,132.3,29.5,12.8,748.0,,"New York, NY","Havre, France","New York, NY",G W Sampson,,300.0,2.0,,,Passengers and general cargo,,A,Y,N,#1786; Vessel lost,39.15333,-74.68666
John Anna (1884),,,Schooner,1866.0,"Somers Point, NJ",1884-01-06,1864.0,1,6,Great Egg Harbor Inlet,,,39.2987546,-74.5470606,Stranded,,,52.5,18.7,4.5,29.36,27.89,"Somers Point, NJ","Somers Point, NJ","Hog Island, VA",Horton,3.0,1.0,0.0,1600.0,,In ballast,Great Egg Harbor,N,N,N,#12906; Refloated,39.2987546,-74.5470606
Wave (1864),,Churchill,Brig,1858.0,"Cornwallis, NS",1864-02-20,1864.0,2,20,Hereford Shoal,39.02111,-74.78157,52.056398,-2.715974,Stranded,Wood,England,91.1,24.0,13.4,210.0,,"London, NS","Dighton, MA","Philadelphia, PA",Stevens,10.0,,,,,In ballast,,A,Y,N,Total loss,39.02111,-74.78157
Elizabeth (1864),,J & J Cooke,Passenger liner,1856.0,"St John, NS",1864-05-14,1864.0,5,14,Corsons Inlet bar,,,39.2158381,-74.6438383,Grounded,Wood,Ireland,160.6,33.6,20.3,770.0,688.0,"Londonderry, Ireland","Londonderry, Ireland","Philadelphia, PA",Gillespie,,378.0,0.0,,,"Passengers, coal, iron, potatoes",,Y,Y,N,Total loss,39.2158381,-74.6438383
Kenneth,,Stanley,Brig Half,1862.0,"Shelbourne, NS",1864-10-29,1864.0,10,29,Highlands SE 40 mi,,,-,-,"Collision w/ ""Amelia Priest""",,Canada,96.6,23.0,9.2,125.0,,"Halifax, NS","Jacmel, Haiti","New York, NY",Stanley,,,0.0,,,Logwood,,,,N,,,
Dr R Proctor,,Lovell & Brothers,Schooner,1851.0,"Trenton, ME",1864-12-09,1864.0,12,9,Sandy Hook,,,41.4218208,-73.2833176,Grounded during gale,Wood,,,,7.0,59.0,,"Boston, MA","Boston, MA","Falmouth, MA",,,,,,,,,,,N,#1186,41.4218208,-73.2833176
James I Day,,Benjamin Baker,Schooner,1855.0,"Stonington, CT",1864-12-10,1864.0,12,10,Squan Inlet,,,-,-,Foundered,Wood,US,87.0,20.0,7.6,136.0,,"Stonington, CT","Philadelphia, PA","Dighton, MA",,,,,,,,,Y,Y,N,#2417; Total loss,,
Adriatic (1864),,E E Morgan & Sons,Sailing ship,1861.0,"East Boston, MA",1864-08-12,1864.0,8,12,Montuk SW 20 mi,,,41.0359353,-71.9545146,"Burned by Confederate Raider ""Tallahassee""",Wood,US,181.0,34.0,23.0,989.0,,"New York, NY","London, England","New York, NY",R H Moore,,163.0,0.0,,,,,Y,Y,N,"One of 30 ships captured by ""Tallahassee""",41.0359353,-71.9545146
Deane,,P Bangs,Schooner,1845.0,"Provincetown, MA",1864-04-08,1864.0,4,8,,,,-,-,"Collision w/ ""W.S.Baker""",,US,70.0,19.1,7.6,89.0,,,"Quincy, MA",Fortress Monroe,,5.0,0.0,0.0,,,Stone,,,,N,#1140,,
Lizzie Bliss,,S Pierson & Co,Brig,1858.0,"St George, ME",1864-04-03,1864.0,4,3,"Long Branch, NJ",,,40.3042778,-73.9923596,Grounded,Wood,,122.0,27.8,12.1,369.0,,"St George, ME",,,S Pierson,,,0.0,,,"Sugar, melado",,Y,Y,N,#1735; Total loss,40.3042778,-73.9923596
Brownstone,,David Sisson,Schooner,1852.0,"Middletown, CT",1864-04-05,1864.0,4,5,"Highlands, NJ",,,40.40372,-73.991527,Grounded,Wood,,,,6.5,45.0,,"Providence, RI",Seconnet,"Providence, RI",Baker,,,,,,20 ton hay,,Y,Y,N,Total loss; Drifted on beach,40.40372,-73.991527
Kate Brigham,,Thomas Dunham & Co,Schooner,1853.0,"Greenpoint, NY",1864-12-20,1864.0,12,20,"Highlands, Wardells Beach S 1 mi",,,-,-,Grounded,Oak,,131.0,30.3,12.1,546.0,,"New York, NY","New Orleans, LA","New York, NY",,,,,,,Flour,,,,N,#2844,,
J W Webster,,John R Pruyn,Schooner,1855.0,"New York, NY",1864-04-13,1864.0,4,13,"Long Branch, NJ",,,40.3042778,-73.9923596,Grounded,,,121.6,29.6,12.6,390.0,,"New York, NY","Port Royal, SC","New York, NY",Blake,,,,,,In ballast,,,,N,,40.3042778,-73.9923596
Lejok (1864),,W H Black,Schooner,1851.0,"Ellsworth, ME",1864-10-01,1864.0,10,1,New Jersey coast,,,40.0583238,-74.4056612,Wrecked,Wood,,80.6,24.3,8.3,162.0,,"Ellsworth, ME","Philadelphia, PA","Boston, MA",,,,,,,,,Y,Y,N,"Total loss; Crew rescued by ""Moses Bramball""",40.0583238,-74.4056612
George (1864),,T Tower & Co,Brig,1859.0,"Machias, ME",1864-03-31,1864.0,3,31,Barnegat Inlet S 9 mi,,,39.7660179,-74.1016824,Stranded,Wood,US,87.0,27.0,10.0,144.0,,"New Haven, CT","Mayaguez, PR","New Haven, CT",Perkins,,,,,,"Rum, molasses and sugar",,,,N,,39.7660179,-74.1016824
Fowler,,,Schooner,1841.0,"Maitland, NS",1864-12-23,1864.0,12,23,Barnegat,,,39.7649223,-74.2693297,Ashore,Wood,,,,8.0,90.0,,Cheverie,"New York, NY","Baltimore, MD",,,,,,,Merchandise,,,,N,#1693,39.7649223,-74.2693297
Vapor (1864),,Sturgis Clearman & Co,Schooner,1854.0,"Black Rock, CT",1864-11-03,1864.0,11,3,Sandy Hook,,,41.4218208,-73.2833176,"Captured by Confederate ""Olustee""",Oak,,113.4,30.2,10.4,312.0,,"New York, NY",,,,,,,,,"Timber, cotton, naval sores",,N,N,N,#4712  Abandoned; Towed to New York,41.4218208,-73.2833176
Cartegena (05/1865),,,Schooner,,,1865-05-25,1865.0,5,25,Cape May,,,38.9351125,-74.9060053,Stranded,,England,,,13.0,,,"Bristol, England",,,,5.0,,0.0,,,,,,,N,,38.9351125,-74.9060053
Quango (1865),,B D Archibald & Co.,Brig,1860.0,"Sydney, NS",1865-10-11,1865.0,10,11,"Cape Ann, MA East",,,42.648611,-70.5930556,Leaking badly,Wood,England,114.0,26.8,12.4,320.0,,"Sydney, NS","New York, NY","Cow Bay, CB",Thomas Burke,11.0,6.0,0.0,,,In ballast,,Y,Y,N,"#2308; Sank; Crew saved by ""Arizona""",42.648611,-70.5930556
George Steers,,,Pilot boat,,,1865-02-12,1865.0,2,12,Barnegat Inlet,,,39.7660179,-74.1016824,Grounded,,,77.4,18.1,9.6,,,,"New York, NY",,Hopkins,10.0,,5.0,,,,,Y,Y,N,Total loss,39.7660179,-74.1016824
W C Davoll,,Castner & Co,Schooner,1864.0,"Camden, NJ",1865-11-28,1865.0,11,28,Seven Mile Beach,39.06766,-74.35046,19.3338672,-81.3816993,Stranded,,US,,,10.0,299.0,,"Philadelphia, PA","Georgetown, DC","Boston, MA",Matthews,5.0,,,,,,,A,Y,N,Total loss,39.06766,-74.35046
Richard Thompson,,Levi Ludlam,Schooner,1836.0,"New York, NY",1865-01-20,1865.0,1,20,"Ludlams Beach, NJ",,,39.1476143,-74.6943277,Stranded,Oak,US,,,8.0,142.0,,"Cape May, NJ","Fortress Monroe, Hampton, VA","Philadelphia, PA",,,,,,,,,N,N,N,Refloated,39.1476143,-74.6943277
R G Porter,,A S Baker et al,Schooner,1852.0,"Mays Landing, NJ",,1866.0,,,Barnegat Inlet N 16 mi,,,39.7660179,-74.1016824,Foundered,,US,,,8.0,172.0,,"Provincetown, MA","Providence, RI","Philadelphia, PA",Crowell,5.0,,0.0,,,,,Y,Y,N,Total loss,39.7660179,-74.1016824
Huron (1866),,A Kaye,Brig,1863.0,"St John, NB",1866-12-19,1866.0,12,19,Great Egg Harbor S 2 mi,39.26936,-74.58241,39.3042822,-74.6496034,Grounded ashore,Wood,England,116.0,28.6,12.8,370.0,,"St John, NB, Canada","Cardenas, Mexico","New York, NY",Rayt,,,,,,Sugar,,A,,N,,39.26936,-74.58241
Mary Haley (1866),,A Haley,Schooner,1856.0,"Dorchester, MD",1866-02-16,1866.0,2,16,Townsends Inlet,,,39.1265265,-74.7114399,Stranded,Wood,US,,,10.0,205.05,194.8,"Mauricetown, NJ","New York, NY","Philadelphia, PA",A Haley,,,,,,General,,N,N,N,#17295; Refloated,39.1265265,-74.7114399
William Paxton,,J Tatnall,Schooner,1860.0,"Wilmington, DE",1866-03-06,1866.0,3,6,Seven Mile Beach,39.09077,-74.71424,19.3338672,-81.3816993,Wrecked,Wood,,105.0,26.4,8.0,222.0,,"Wilmington, DE","New York, NY",Texas,Hewitt,,,,,,General cargo,,A,Y,N,#26871; Total loss,39.09077,-74.71424
Tarolinta,,,Schooner 2 masted,1870.0,"Nyack, NY",1886-07-23,1866.0,7,23,Barnegat,,,39.7649223,-74.2693297,Burned & abandoned,,,97.0,22.0,9.3,85.0,,"Boston, MA","Philadelphia, PA","Bangor, ME",,,,,,,,,Y,Y,N,"Crew rescued by ""Sarah Cullen""",39.7649223,-74.2693297
Kate Dyer,,J W Dyer,Ship,1855.0,"Cape Elizabeth, ME",1866-12-01,1866.0,12,1,Fire Island S 10 mi,,,40.6475997,-73.1459474,"Collision w/ ""Scotland""",,,190.0,38.6,24.0,1278.0,,"Portland, ME","Liverpool, England","New York, NY",,,,,,,Cotton,,Y,Y,N,Both ships sank,40.6475997,-73.1459474
Santiago De Cuba,,North American Steamship Co,Sidewheel steam,1861.0,"New York, NY",1867-05-21,1867.0,5,21,Atlantic City S 6 mi,,,39.3642834,-74.4229266,Stranded,,,231.0,38.0,20.0,1627.0,,"New York, NY",Pacific Coast,"New York, NY",Behm,,317.0,7.0,,,General,Atlantic City & Ventner,N,N,Y,Refloated; returned to service,39.3642834,-74.4229266
Dorah A Baker,,J W Elwell & Co,Schooner,1860.0,"Philadelphia, PA",1867-03-26,1867.0,3,26,"Long Branch, NJ",,,40.3042778,-73.9923596,Stranded,,,120.0,29.0,11.0,260.0,,"New York, NY",,,Eldridge,5.0,,0.0,8000.0,,,,Y,Y,Y,Total loss,40.3042778,-73.9923596
Mary C Towne,,J Woolson,Schooner,1856.0,"Toms River, NJ",,1867.0,2,,Barnegat Inlet N 6.5 mi,,,39.7660179,-74.1016824,Stranded,,,,,8.0,172.0,,"Waretown, NJ",,,J P Fox,5.0,,0.0,,,,,,,N,,39.7660179,-74.1016824
G W Barter,,Thompson & Hunter,Brig,1856.0,"New York, NY",1867-08-07,1867.0,8,7,Barnegat Shoal,,,39.7705251,-74.26185,Wrecked,,US,112.8,27.0,10.5,223.0,,"New York, NY","Port Richmond, PA","New York, NY",Allen/Lee,8.0,,0.0,,,Sugar,,,,N,,39.7705251,-74.26185
J F Farland,,Avery et al,Schooner,1860.0,"Brookhaven, NY",,1867.0,10,,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Grounded,,US,110.0,29.0,11.0,287.0,,"Brookhaven, NY",,,Avery,,,,,35000.0,,,N,N,N,"Refloated by ""Rescue""",41.4218208,-73.2833176
Merrimac (1867),,P Wright & Son,Ship,,,1867-11-20,1867.0,11,20,Seven Mile Beach,39.06253,-74.73942,19.3338672,-81.3816993,Wrecked,,,184.8,35.9,24.0,1097.0,,"Philadelphia, PA","Liverpool, England","Philadelphia, PA",Lackie,16.0,,,,,General cargo,,A,Y,N,,39.06253,-74.73942
S Lockwood,,,Schooner,1855.0,"Lebanon, DE",1867-07-10,1867.0,7,10,Barnegat,,,39.7649223,-74.2693297,"Collision w/ ""Idahoe""",,US,80.0,23.0,8.0,94.0,,"Camden, NJ","Providence, RI","Philadelphia, PA",Debre,5.0,,0.0,,,In ballast,,Y,Y,N,Total loss,39.7649223,-74.2693297
Monmouth,,G W Anderson,Schooner,1845.0,"Alloway, NJ",1867-11-20,1867.0,11,20,Little Egg Inlet,,,39.4917259,-74.3162211,Sank,,,82.0,25.0,8.5,112.0,,"Forked River, NJ",,,G W Anderson,,,,9000.0,10000.0,,,N,N,N,Refloated,39.4917259,-74.3162211
Soloman Washburn,,W W Church,Schooner,1855.0,"Berkeley, MA",1867-11-15,1867.0,11,15,Seven Mile Beach,,,19.3338672,-81.3816993,Stranded,,,92.3,26.0,8.2,85.0,,"Taunton, MA","Taunton, MA","Philadelphia, PA",Williams,,,,,,,,N,N,N,Refloated,19.3338672,-81.3816993
Sacramento,,W E Weld,Ship,1865.0,"Boston, MA",1867-12-16,1867.0,12,16,Deal Beach,,,40.2512782,-73.9921853,Dismasted in gale,,US,200.0,37.1,23.7,1418.0,,"Boston, MA","Boston, MA","New York, NY",,,,,168000.0,,,,N,N,N,Towed in,40.2512782,-73.9921853
Cassandra (1867),,,Steamship,1864.0,"Mystic, CT",1867-02-05,1867.0,2,5,Brigantine Shoal,39.40569,-74.35908,39.387617,-74.3345893,Stranded,Wood,,207.0,35.5,17.3,1284.0,,"Boston, MA","New Orleans, LA","New York, NY",Daniel McLaughlin,31.0,,0.0,,,"Cotton, tobacco, moss, leather",,A,Y,Y,Total loss,39.40569,-74.35908
Electric (1867),,,Medium clipper,1853.0,"Mystic, CT",1867-12-19,1867.0,12,19,Pecks Beach,39.24111,-74.60911,39.246322,-74.6123601,,,,181.0,38.0,21.0,1046.0,,,"Hamburg, Germany","New York, NY",,5.0,350.0,0.0,,,,,N,N,N,Refloated,39.24111,-74.60911
George W Hynson,,P Fitzpatrick,Schooner,1860.0,"Great Egg Harbor, NJ",1867-01-22,1867.0,1,22,Squan Beach,,,-,-,Foundered,,,123.3,30.4,9.9,378.0,,"Philadelphia, PA","New Orleans, LA","Providence, RI",Shaw,5.0,0.0,0.0,,,Cotton,,,,N,,,
Owen Bearse,,Dennis Sturges,Schooner,1863.0,"Cleveland, OH",1867-11-01,1867.0,11,1,New Jersey coast,,,40.0583238,-74.4056612,Stranded,,,,,10.0,215.0,,"Boston, MA",,,Parker,7.0,,,12000.0,12000.0,,,N,N,N,"Saved by ""Lackawanna""",40.0583238,-74.4056612
Memento (1867),,E Burchill,Schooner,1854.0,"Waretown, NJ",,1867.0,12,,"Long Branch, NJ",,,40.3042778,-73.9923596,Stranded in gale,Wood,US,,,8.0,175.0,,"Waretown, NJ",,,Collins,8.0,,0.0,,,Virginia pinewood,,N,N,N,Refloated,40.3042778,-73.9923596
Tartar (1867),,Thompson & Co,Sloop,1845.0,"Philadelphia, PA",1867-02-02,1867.0,2,2,Stickles Creek N,,,-,-,Stranded,Wood,,140.0,30.6,19.3,573.0,,"London, England","Calcutta, India","New York, NY",Folondsbee,19.0,,0.0,,,Jute,,,,N,,,
Oliver M Petit,,,Schooner,1854.0,"Westport, CT",1867-12-09,1867.0,12,9,Cape May,,,38.9351125,-74.9060053,Wrecked,,,113.0,28.6,9.0,225.0,,"Boston, MA","Baltimore, MD","Providence, RI",A Eldridge,5.0,,,,,Grain,,Y,Y,N,Vessel lost,38.9351125,-74.9060053
Henry Clay (1860),,,Swallowtail Packet,1845.0,,,1868.0,,,Squan Beach,40-02-45 N,71-02-40 W,-,-,Grounded,,US,189.5,,30.0,1402.0,,,,,Ezra Nye,,300.0,0.0,,,,,N,N,N,Refloated; all saved,,
Hamburg,,S H Talbot Bros,Schooner,1865.0,"East Machias, ME",1868-12-11,1868.0,12,11,"Cranberry Inlet, NJ",,,39.9480563,-74.0792651,Stranded,,,,,9.0,220.0,,"East Machias, ME",,,Sprague,8.0,,,25000.0,,,,N,N,N,Refloated,39.9480563,-74.0792651
Hiram Abriff,,C A Lennox,Bark,1864.0,"Wiscasset, ME",1868-04-07,1868.0,4,7,"Long Branch, NJ",,,40.3042778,-73.9923596,Stranded,,,112.0,27.6,15.7,327.0,,"Wiscasset, ME",West Indies,"New York, NY",G Tibbetts,10.0,,0.0,,10000.0,Sugar & molasses,,N,N,N,Refloated; Towed to New York,40.3042778,-73.9923596
Abigail Haley,,Haley & Co.,Schooner,1860.0,"Mauricetown, NJ",1868-01-18,1868.0,1,18,Squan Inlet S 3 mi,,,-,-,Grounded,,,,,11.0,,267.0,,,,W Haley,,,,20000.0,,,,N,N,N,"Refloated; Incorrectly called ""Abigail Henry""",,
E W Gardner,,Conroy & Co,Schooner,1855.0,"Gloucester, NJ",1868-10-23,1868.0,10,23,Townsends Inlet,39.11978,-74.69742,39.1265265,-74.7114399,Grounded,,,,,10.0,203.0,,"Philadelphia, PA","Boston, MA","Philadelphia, PA",,5.0,,,7000.0,,Ballast,,A,Y,N,Total loss,39.11978,-74.69742
H A Weeks,,Godfrey et al,Schooner,1855.0,"Tuckahoe, NY",,1868.0,12,,Barnegat,,,39.7649223,-74.2693297,Grounded,,,,,9.0,,141.0,"Philadelphia, PA",,,Hickman,,,,,,,,,,N,,39.7649223,-74.2693297
St Jago,,W Chase et al,Bark,1848.0,"Portland, ME",1868-10-22,1868.0,10,22,Townsends Inlet,39.10793,-74.70085,39.1265265,-74.7114399,Stranded,,,105.0,26.0,12.6,222.0,,"Portland, ME",Portland. ME,"Philadelphia, PA",Land,15.0,,,,,In ballast,,A,Y,N,Total loss,39.10793,-74.70085
Coquette,,L R Smoot,Steamship,1863.0,,1868-03-22,1868.0,3,22,Little Egg Harbor,,,39.6204823,-74.319235,Stranded in gale,,,,,10.0,221.0,,"Baltimore, MD","Philadelphia, PA","New York, NY",Freeman,13.0,,,150000.0,,,,Y,Y,N,Ship lost; cargo saved,39.6204823,-74.319235
Philander Armstrong,,Peterson & Co,Schooner,1850.0,"New Haven, CT",1868-08-12,1868.0,8,12,Hereford Inlet Shoals,39.02023,-74.79135,39.01094,-74.7834445,Stranded,"Oak, cedar",,91.8,24.6,8.0,,123.0,"New Haven, CT","Norfolk, VA",,Peterson,5.0,,,,,,,A,Y,N,Total loss,39.02023,-74.79135
Henry Trowbridge,,Henry Trowbridge,Bark,1847.0,"Portland, CT",1868-08-05,1868.0,8,5,Highlands of Navesink,,,40.39964,-74.03652,Abandoned at sea; dismasted,,,86.1,23.8,11.2,172.0,,"New Haven, CT","New York, NY",Barbados,Hotchkiss,14.0,,6.0,,,Livestock & staves,,N,N,Y,8 people saved; towed in,40.39964,-74.03652
Joseph Holmes (1868),,,Schooner,1854.0,"Forked River, NJ",,1868.0,3,,Squan Beach,,,-,-,Stranded,,,90.0,29.0,10.0,174.0,,,"James River, VA","New York, NY",Auson,9.0,,3.0,,,Wood,,,,N,,,
Isaac Webb,,C H Marshall,Packet ship,1850.0,"New York, NY",1868-11-19,1868.0,11,19,Sandy Hook Light Outer Middle Ground,,,40.4616349,-74.0021375,Stranded in gale,,US,185.0,42.6,22.0,1497.0,,"New York, NY","Liverpool, England","New York, NY",,,400.0,,,300000.0,,,N,N,N,Refloated,40.4616349,-74.0021375
Alice M Ridgway (1868),,,Schooner,1864.0,"Tuckerton, NJ",1868-03-20,1868.0,3,20,Cape May Fishing Creek,,,38.9351125,-74.9060053,Stranded; Capsized,Wood,US,53.0,19.4,4.6,26.08,24.78,"Tuckerton, NJ","Cape May, NJ","Philadelphia, PA",Thomas McKean,4.0,0.0,4.0,1600.0,,Gravel,,,,N,#521; Refloated; Repaired,38.9351125,-74.9060053
Creole (1868),,,Steamship,1862.0,"Mystic, CT",1868-03-17,1868.0,3,17,Squan Inlet S 3.5 mi,40.05150,-74.04197,-,-,Stranded in fog,Wood,US,194.0,34.0,18.0,1229.0,1056.0,"New York, NY","Havana, Cuba","New York, NY",King,15.0,,,,,,,A,,Y,#4883,40.0515,-74.04197
Electric (1868),,R M Sloman,Medium clipper,1853.0,"Mystic, CT",1868-12-21,1868.0,12,21,Cape May,,,38.9351125,-74.9060053,,,,181.0,38.0,21.0,1046.0,,,"Hamburg, Germany","New York, NY",,,363.0,0.0,,,,,N,N,N,Refloated,38.9351125,-74.9060053
Lottie Klotts,,Endicott & Klotts,Schooner,1865.0,"Mays Landing, NJ",1868-03-02,1868.0,3,2,Pecks Beach,,,39.246322,-74.6123601,Stranded,,,,,12.0,449.0,,"Mays Landing, NJ",Caribbean (Cuba),"New York, NY",Thomas Endicott,,,,,102000.0,Sugar,,N,N,N,Refloated,39.246322,-74.6123601
Louise Crockett,,,Schooner,1865.0,"Rockland, ME",1868-12-15,1868.0,12,15,Egg Harbor,,,45.0463807,-87.2970502,Stranded,,,107.7,27.1,10.3,211.0,,"Rockland, ME",,,Crockett,8.0,,,2800.0,,,,N,N,N,Refloated,45.0463807,-87.2970502
R S Dean,,,Schooner,1855.0,"Taunton, MA",1868-12-07,1868.0,12,7,Sickles Creek,,,-,-,Grounded,,US,94.0,24.0,7.6,,136.0,"Taunton, MA","Philadelphia, PA","Taunton, MA",Cook,,,,,,Coal,,N,N,N,Partial loss,,
William & James,,Master et al,Schooner class 42,1864.0,"Sussex Co., DE",1868-12-15,1868.0,12,15,Townsends Inlet,,,39.1265265,-74.7114399,Stranded,,,,,8.0,81.0,,"Vienna, DE",,,Outen,8.0,,,9000.0,,,,N,N,N,Refloated,39.1265265,-74.7114399
Charles Thomas,Marmion,R L Taylor,Steamship,1864.0,"Philadelphia, PA",1868-11-07,1868.0,11,7,Sandy Hook Flynn Knoll,,,41.4218208,-73.2833176,"Collision w/ ""General Meade""",,,232.0,32.0,19.0,1051.0,,"New York, NY","Savannah, GA","New York, NY",Faircloth,,,0.0,150000.0,,Cotton,,Y,Y,N,"Towed by ""Lackawanna""; Cargo saved; Later broke up",41.4218208,-73.2833176
General Meade,Bermuda,Merchants SS Line,Steamship,1861.0,"Stockton, England",1868-11-07,1868.0,11,7,Sandy Hook Flynn Knoll,,,41.4218208,-73.2833176,"Collision w/ ""Marmion""",Iron,US,211.0,30.3,19.3,1002.0,,"Boston, MA","New York, NY","New Orleans, LA",A W Sampson,,,0.0,,,,,N,N,N,"#10139; Rescued most of ""Marmion"" passengers",41.4218208,-73.2833176
Marmion,Charles Thomas,R L Taylor,Steamship,1864.0,"Philadelphia, PA",1868-11-07,1868.0,11,7,Sandy Hook Flynn Knoll,,,41.4218208,-73.2833176,"Collision w/ ""General Meade""",,,232.0,32.0,19.0,1051.0,,"New York, NY","Savannah, GA","New York, NY",Faircloth,,,0.0,150000.0,,Cotton,,Y,Y,N,"Towed by ""Lackawanna""; Cargo saved; Later broke up",41.4218208,-73.2833176
Costa Rica,,Panama RR Co,Brig,1857.0,"Black Rock, CT",1869-01-17,1869.0,1,17,Squan Beach,39.65000,-73.21666,-,-,Burned,Wood,US,267.8,49.8,25.6,2992.0,1724.0,"Portland, OR",,,,,,0.0,,,,,A,N,N,Refloated,39.65,-73.21666
T Lake,,D Scull,Schooner,1856.0,"Egg Harbor, NJ",1869-04-14,1869.0,4,14,Atlantic City,,,39.3642834,-74.4229266,,,,97.0,28.0,8.0,197.0,154.2,"Egg Harbor, NJ","Philadelphia, PA","Newport, RI",Adams,5.0,,,,,Coal,,Y,Y,N,#24649; Total loss,39.3642834,-74.4229266
Moses Van Name,,,Schooner,1854.0,"Elizabeth, NJ",1869-01-19,1869.0,1,19,"Ship Bottom, NJ",,,39.642897,-74.1804159,Wrecked,,,114.0,30.0,9.0,190.0,,"New York, NY","Baltimore, MD","New York, NY",M Vanname,5.0,,0.0,,,Coal,#15,,,N,,39.642897,-74.1804159
Mary E Thompson,,W McGilvery,Brig,1852.0,"Bath, ME",1869-01-16,1869.0,1,16,Cape May,,,38.9351125,-74.9060053,Stranded,,,,,11.0,210.0,,"Searsport, ME",,,,,,,16000.0,,,,N,N,N,"Refloated by ""Relief""; towed to Philadelphia",38.9351125,-74.9060053
Stella (1869),,W K Dudman & Co,Bark,1863.0,"Yarmouth, NS",1869-07-25,1869.0,7,25,Deal Beach,,,40.2512782,-73.9921853,Stranded,,England,130.0,29.1,17.0,484.0,,"Yarmouth, NS","Middlesboro, England","New York, NY",Cain,,,,50000.0,50000.0,Railroad iron,,,,N,,40.2512782,-73.9921853
Wilhelm,,J H Beeker,Brig,1856.0,"Elsfleth, Germany",,1869.0,,,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded & burned,,,113.0,22.0,11.6,223.0,,"Elsfleth, Germany",,,J H Beeker,,,,,,,,N,N,N,Dispute over salvage rights,41.4218208,-73.2833176
Benjamin Brown,,,Schooner,1847.0,,,1869.0,,,"Long Branch, NJ",,,40.3042778,-73.9923596,Wrecked,Wood,US,,,7.0,,79.0,"Providence, RI",,,Oliver,5.0,0.0,0.0,,,,,,,N,,40.3042778,-73.9923596
Stratton Audley,,Glen & Co LTD,Ship,1864.0,"Glasgow, Scotland",1869-03-23,1869.0,3,23,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded in snow storm,Iron,England,205.5,34.6,21.1,998.0,,"Liverpool, England","Calcutta, India","New York, NY",,35.0,,,,300000.0,,,N,N,N,Refloated,41.4218208,-73.2833176
S N Smith (1869),Samuel N Smith,Smith,Schooner,1852.0,"Patchogue, NY",1869-04-29,1869.0,4,29,Corsons Inlet bar,39.20527,-74.63874,39.2158381,-74.6438383,Grounded,Wood,US,,,8.5,137.0,,"Brookhaven, NY","Boston, MA","Philadelphia, PA",Potter,5.0,,,,,In ballast,,A,Y,N,Total loss,39.20527,-74.63874
Circassian,,Atlantic RM SS Co,Steamship,1856.0,"Belfast, ME",1869-12-18,1869.0,12,18,Squan Beach,,,-,-,Stranded,Iron,,253.0,40.0,18.0,1045.0,,,"New Orleans, LA","New York, NY",Ellis,,,,,,,,N,N,N,Refloated; towed to New York,,
Adelaide (1870),,,Schooner,1853.0,"Cape May, NJ",1870-01-04,1870.0,1,4,Barnegat,,,39.7649223,-74.2693297,"Collision w/ ""Shakespeare""",,,,,9.0,143.0,,"Somerset, NJ","Somerset, NJ","Baltimore, MD",,,,,,,In ballast,,,,N,Abandoned,39.7649223,-74.2693297
Magellan (1870),,E Z Birdsall,Schooner,1849.0,"Waretown, NJ",1870-05-07,1870.0,5,7,Sandy Hook,,,41.4218208,-73.2833176,Grounded in fog,Wood,,88.4,25.5,8.0,133.0,126.05,"Waretown, NJ",Virginia,"New York, NY",,,,,,,Pinewood,,N,N,N,#17038; Refloated undamaged,41.4218208,-73.2833176
John Collins,,Colts & Tilton,Schooner,1853.0,"Union, NJ",1870-06-10,1870.0,6,10,Squan Inlet S 5.5 mi,,,-,-,Wrecked,,,,,9.0,146.0,,"Union, NJ",,,Rankin,5.0,,0.0,,,,,,,N,,,
Queen (1870),,,Steamship,1861.0,"Glasgow, Scotland",1870-04-05,1870.0,4,5,Sandy Hook,,,41.4218208,-73.2833176,,Iron,England,180.8,26.0,13.2,405.0,,"Liverpool, England","Liverpool, England","New York, NY",J Linklader,,,,,12000.0,200 tons of dry goods,,N,N,N,Refloated after unloading 120 tons cargo,41.4218208,-73.2833176
Western Star,,Crowell,Schooner,1862.0,"Fairhaven, MA",1870-03-09,1870.0,3,9,Highlands ESE 55 mi,,,-,-,"Collision w/ ""Highland Nancy""",,,,,12.0,317.0,,"Barnstable, MA","Cardenas, Mexico","Boston, MA",G H Brown,,,,,,,,,,N,#3582,,
